country_name_text,term,Odds Ratio,95% CI,p-value
Netherlands,combined_child_rearing,0.8334264524051975,0.761 - 0.913,0
Netherlands,sex,1.0459551186595617,0.861 - 1.27,0.65
Netherlands,age_grp,1.267653506680595,1.196 - 1.345,0
Netherlands,educ,1.1219815827446096,1.067 - 1.179,0
Netherlands,polint_rev,1.273016080392598,1.125 - 1.442,0
Netherlands,gen_trust_rev,1.6407316903273275,1.332 - 2.024,0
Norway,combined_child_rearing,0.8913878901131488,0.781 - 1.017,0.088
Norway,sex,1.3567960639538408,1.043 - 1.767,0.023
Norway,age_grp,1.2447456890719035,1.153 - 1.345,0
Norway,educ,1.102340249253206,1.025 - 1.186,0.009
Norway,polint_rev,1.28940366805177,1.089 - 1.529,0.003
Norway,gen_trust_rev,1.692669900494267,1.256 - 2.283,0.001
Poland,combined_child_rearing,0.9850208013839684,0.857 - 1.132,0.831
Poland,sex,1.229531640104169,0.911 - 1.663,0.178
Poland,age_grp,0.9709691001416205,0.889 - 1.06,0.512
Poland,educ,1.1080791158792105,1.029 - 1.193,0.006
Poland,polint_rev,1.0849823009097685,0.908 - 1.298,0.371
Poland,gen_trust_rev,1.1847304358358761,0.856 - 1.631,0.303
Romania,combined_child_rearing,0.7285225153335947,0.515 - 1.022,0.07
Romania,sex,1.8580674028630617,0.996 - 3.586,0.056
Romania,age_grp,1.1032296178784757,0.916 - 1.331,0.302
Romania,educ,1.3574457295434676,1.152 - 1.597,0
Romania,polint_rev,1.556190765979262,1.136 - 2.139,0.006
Romania,gen_trust_rev,0.21515080495949337,0.034 - 0.728,0.038
Slovakia,combined_child_rearing,1.208473750734277,0.997 - 1.467,0.054
Slovakia,sex,0.7262604971543581,0.496 - 1.068,0.102
Slovakia,age_grp,1.0658986417333456,0.954 - 1.193,0.262
Slovakia,educ,1.0921533896507682,0.97 - 1.221,0.132
Slovakia,polint_rev,0.8631836842220543,0.689 - 1.079,0.198
Slovakia,gen_trust_rev,0.9290044481607251,0.582 - 1.439,0.749
Slovenia,combined_child_rearing,0.8963781099558032,0.726 - 1.101,0.302
Slovenia,sex,0.7340502491271302,0.481 - 1.119,0.15
Slovenia,age_grp,1.141679684502277,1.011 - 1.293,0.034
Slovenia,educ,1.0999555290633232,0.952 - 1.269,0.192
Slovenia,polint_rev,1.1715659405585868,0.926 - 1.485,0.188
Slovenia,gen_trust_rev,0.9443144561667328,0.58 - 1.502,0.813
Spain,combined_child_rearing,0.9358930940663936,0.83 - 1.055,0.279
Spain,sex,0.988271007222542,0.743 - 1.316,0.935
Spain,age_grp,0.9995291766777518,0.918 - 1.089,0.991
Spain,educ,1.0174928689614662,0.946 - 1.094,0.641
Spain,polint_rev,1.4012979727583492,1.211 - 1.625,0
Spain,gen_trust_rev,1.3152908241571362,0.988 - 1.75,0.06
Sweden,combined_child_rearing,0.7622450262719631,0.669 - 0.867,0
Sweden,sex,1.0309722764225466,0.795 - 1.337,0.818
Sweden,age_grp,1.1929790434910683,1.11 - 1.284,0
Sweden,educ,1.083673865370493,1.007 - 1.166,0.031
Sweden,polint_rev,1.3394934652821777,1.146 - 1.568,0
Sweden,gen_trust_rev,2.116330471035929,1.608 - 2.789,0
Switzerland,combined_child_rearing,0.9111987646273206,0.846 - 0.981,0.014
Switzerland,sex,0.8703199676970136,0.745 - 1.017,0.08
Switzerland,age_grp,1.1933652250592552,1.142 - 1.248,0
Switzerland,educ,1.0403722659604413,0.995 - 1.087,0.079
Switzerland,polint_rev,1.2884282061964671,1.165 - 1.425,0
Switzerland,gen_trust_rev,1.3131288387862095,1.116 - 1.545,0.001
United Kingdom,combined_child_rearing,0.8484976817037714,0.767 - 0.938,0.001
United Kingdom,sex,0.8170523298694758,0.664 - 1.005,0.056
United Kingdom,age_grp,1.197612913831387,1.125 - 1.276,0
United Kingdom,educ,1.0967438389632809,1.043 - 1.153,0
United Kingdom,polint_rev,1.2967000919143552,1.158 - 1.454,0
United Kingdom,gen_trust_rev,1.1635555451237076,0.941 - 1.438,0.162
